created_at,username,text,prepros_text,text_join,label
Thu Jul 20 11:19:16 +0000 2023,TurnBackHoax,"ATAS PERINTAH KERAJAAN ARAB RIBUAN UMAT DARI JEDDAH DEKLARASI ANIES BASWEDAN   https://t.co/APYhIQiugz   Sebuah akun Facebook dengan nama pengguna Perspektif"" mengunggah video dengan narasi bahwa ribuan umat deklarasi Anies sebagai Presiden dari Jeddah.  Setelah melakukanâ€¦ https://t.co/vfCYGQ5KfI""",atas perintah kerajaan arab ribuan umat dari jeddah deklarasi anies baswedan sebuah akun facebook dengan nama pengguna perspektif mengunggah video dengan narasi bahwa ribuan umat deklarasi anies sebagai presiden dari jeddah setelah melakukan,perintah raja arab ribu umat jeddah deklarasi anies baswedan akun facebook nama guna perspektif unggah video narasi ribu umat deklarasi anies presiden jeddah,black-campaign
Tue Jul 18 09:09:05 +0000 2023,HilyaSalsabill4,@Miduk17 Memang anda pemecah belah  anda saja yg tidak sadar ðŸ˜ðŸ˜ðŸ˜ Yg bikin fitnah â€œTUKANG NGIBUL NAIK HAJI â€œ anda kan? Setelah tau kenyataanya pak Anies di undang kerajaan Arab Saudi apa anda meminta maaf dan mengakui kesalahan pahaman?,memang anda pemecah belah anda saja yg tidak sadar yg bikin fitnah tukang ngibul naik haji anda kan setelah tau kenyataanya pak anies di undang kerajaan arab saudi apa anda meminta maaf dan mengakui kesalahan pahaman,pecah belah sadar fitnah tukang ngibul haji kenyataanya anies undang raja arab saudi maaf aku salah paham,black-campaign
Tue Jul 18 01:58:45 +0000 2023,GodangSsos,"@sutanmangara Sy ngk yakin anies bakal Presiden RI, sblm jd capres aja bnyk bohong.blm lg yg baru2 ini, ngaku2 naik haji di undang oleh pihak kerajaan Arab Saudi.gmn Sang Pencipta buat anies jd Presiden sdh membohongin rakyat indonesia .",sy ngk yakin anies bakal presiden ri sblm jd capres aja bnyk bohongblm lg yg baru ini ngaku naik haji di undang oleh pihak kerajaan arab saudigmn sang pencipta buat anies jd presiden sdh membohongin rakyat indonesia,sy ngk anies presiden ri sblm capres bnyk bohongblm lg ngaku haji undang raja arab saudigmn sang cipta anies presiden membohongin rakyat indonesia,black-campaign
Sat Jul 15 11:48:11 +0000 2023,yantanu2_08,"Waktu naik haji kemarin,   Kenapa gak jogging ya ?   Ksn lumayan bisa posting di Tik tok  Siapa tau bisa seperti anies di kawal oleh kerajaan Arab apalagi klo sudah bilang keturunan Nabi yg ke 23   Ha-ha",waktu naik haji kemarin kenapa gak jogging ya ksn lumayan bisa posting di tik tok siapa tau bisa seperti anies di kawal oleh kerajaan arab apalagi klo sudah bilang keturunan nabi yg ke haha,haji kemarin jogging ksn lumayan posting tik tok anies kawal raja arab turun nabi haha,black-campaign
Sat Jul 15 10:20:35 +0000 2023,streetlawyers85,"@aniesbaswedan @feryfarhati Photo pengawal kerajaan tdk ditampilkan lagi, koq beda pengawal saat @jokowi bersama Raja Arab, pengawalnya pakai baret hijau, saat mengawal anies pakai baret merah, jangan2 itu cuma security bayaran saja. ðŸ¤£",photo pengawal kerajaan tdk ditampilkan lagi koq beda pengawal saat bersama raja arab pengawalnya pakai baret hijau saat mengawal anies pakai baret merah jangan itu cuma security bayaran saja,photo awal raja tampil koq beda awal raja arab awal pakai baret hijau awal anies pakai baret merah security bayar,black-campaign
Sat Jul 15 01:43:32 +0000 2023,AriefBerlian2,@aniesbaswedan @feryfarhati Perjalanan seorang Anies ke  Arab Saudi untuk menunaikan ibadah Haji rukun Islam di mulai dari undangan gratis kerajaan Arab Saudi hingga akomodasi tiket pesawat serta Penginapan Exclusive VVIP  dijamin oleh Kerajaan Arab Saudi. Itulah keistimewaan seorang Anies RB.,perjalanan seorang anies ke arab saudi untuk menunaikan ibadah haji rukun islam di mulai dari undangan gratis kerajaan arab saudi hingga akomodasi tiket pesawat serta penginapan exclusive vvip dijamin oleh kerajaan arab saudi itulah keistimewaan seorang anies rb,jalan anies arab saudi tunai ibadah haji rukun islam undang gratis raja arab saudi akomodasi tiket pesawat inap exclusive vvip jamin raja arab saudi istimewa anies rb,black-campaign
Sat Jul 15 01:25:03 +0000 2023,AriefBerlian2,"@r_situmora @aniesbaswedan @feryfarhati Itulah keistimewaan seorang Anies yang di sambut oleh Kerajaan Arab Saudi, Raja Salman dan Pangeran Muhammad bin Salman, ketika dari Bandara King Abdul Aziz hingga jamuan makan bersama.",situmora itulah keistimewaan seorang anies yang di sambut oleh kerajaan arab saudi raja salman dan pangeran muhammad bin salman ketika dari bandara king abdul aziz hingga jamuan makan bersama,situmora istimewa anies sambut raja arab saudi raja salman pangeran muhammad bin salman bandara king abdul aziz jamu makan,black-campaign
Sat Jul 15 01:21:36 +0000 2023,AriefBerlian2,@r_situmora @aniesbaswedan @feryfarhati Berkacalah pada diri anda sendiri.  Perjalanan Pak Anies ke Makkah memang benar untuk menunaikan Ibadah Haji dalam rukun Islam...buka gaya2an.  Pembuktiannya...Anies diberikan fasilitas gratis dengan akomodasi serta penginapan Exclusive VVIP dari pihak kerajaan Arab Saudi.,situmora berkacalah pada diri anda sendiri perjalanan pak anies ke makkah memang benar untuk menunaikan ibadah haji dalam rukun islambuka gayaan pembuktiannyaanies diberikan fasilitas gratis dengan akomodasi serta penginapan exclusive vvip dari pihak kerajaan arab saudi,situmora kaca jalan anies makkah tunai ibadah haji rukun islambuka gaya pembuktiannyaanies fasilitas gratis akomodasi inap exclusive vvip raja arab saudi,black-campaign
Sat Jul 15 00:43:52 +0000 2023,JiaoSwei,@Joker_Wedoks Saya merasa sakit hati sebagai pendukung Mas Ganjar Pranowo kenapa Anies di kawal Askar kerajaan Arab Saudi tapi Ganjar tidak  padahal Mas Ganjar Gubernur Anis rakyat jelata oh nasib,wedoks saya merasa sakit hati sebagai pendukung mas ganjar pranowo kenapa anies di kawal askar kerajaan arab saudi tapi ganjar tidak padahal mas ganjar gubernur anis rakyat jelata oh nasib,wedoks sakit hati dukung mas ganjar pranowo anies kawal askar raja arab saudi ganjar mas ganjar gubernur anis rakyat jelata oh nasib,black-campaign
Fri Jul 14 10:03:23 +0000 2023,AveroMutta20655,@TukimanChu @ekowboy2 @marlina_idha @Mdy_Asmara1701 Biarlah video ini yg bicara... silahkan anda teriak2 hoax ttg ANIES sbg tamu kerajaan Arab Saudi.. https://t.co/RrzSNim1sj,idha asmara biarlah video ini yg bicara silahkan anda teriak hoax ttg anies sbg tamu kerajaan arab saudi,idha asmara biar video bicara silah teriak hoax ttg anies sbg tamu raja arab saudi,black-campaign
Fri Jul 14 05:22:01 +0000 2023,GodangSsos,"@HelmiFelis_ Helmi sipilis dan Sengkuni tua bangke sm aja penipu, yg 1 ( satu ) janji potong leher,Sengkuni janji jalan kaki dr solo ke https://t.co/cWUURuKgj3 jg dgn anies buswedan, ngaku2 naik haji di undang oleh kerajaan Arab, cuih manusia pembohong",helmi sipilis dan sengkuni tua bangke sm aja penipu yg satu janji potong lehersengkuni janji jalan kaki dr solo ke jg dgn anies buswedan ngaku naik haji di undang oleh kerajaan arab cuih manusia pembohong,helm sipil sengkuni tua bangke sm tipu janji potong lehersengkuni janji jalan kaki dr solo jg anies buswedan ngaku haji undang raja arab cuih manusia bohong,black-campaign
Thu Jul 13 11:42:15 +0000 2023,heriawanadiwan4,"@KakekHalal Behahahah,yg malu km bong,sgla cara d kerahin fitnah Anies,,,,,P Anies mAh santay z,mkn z d undang kerajaan arab,,",behahahahyg malu km bongsgla cara  kerahin fitnah aniesp anies mah santay zmkn   undang kerajaan arab,behahahahyg malu km bongsgla kerahin fitnah aniesp anies mah santay zmkn undang raja arab,black-campaign
Thu Jul 13 10:57:11 +0000 2023,HilyaSalsabill4,@Hudakeyy @aniesbaswedan Rakyat biasa tapi Di undang kerajaan Arab Saudi Status mantan Gubernur tapi di undang dalam pertemuan walikota se Indonesia yg mayoritas masih menjabat Sak jane pak Anies kih sopo toh bong eboooong jawab Ä‘á»“ng bong pengangguran ko lebih sibuk dari gubernur JatengðŸ˜ðŸ˜ðŸ˜ðŸ˜,rakyat biasa tapi di undang kerajaan arab saudi status mantan gubernur tapi di undang dalam pertemuan walikota se indonesia yg mayoritas masih menjabat sak jane pak anies kih sopo toh bong eboooong jawab ng bong pengangguran ko lebih sibuk dari gubernur jateng,rakyat undang raja arab saudi status mantan gubernur undang temu walikota indonesia mayoritas jabat sak jane anies kih sopo bong eboooong ng bong anggur ko sibuk gubernur jateng,black-campaign
Thu Jul 13 08:25:16 +0000 2023,Wahyu16D,"@democrazymedia Oooh...yang membesar2kan itu media Kerajaan Arab Saudi ya.....pantas aja, bukan orang Indonesia.....*gak sah dong krn bukan kadrun...siiihðŸ¤­.....sehat selalu pak Anies, semoga jadi Haji Mabrur. Aamiiin",ooohyang membesarkan itu media kerajaan arab saudi yapantas aja bukan orang indonesiagak sah dong krn bukan kadrunsiiihsehat selalu pak anies semoga jadi haji mabrur aamiiin,ooohyang besar media raja arab saudi yapantas orang indonesiagak sah kadrunsiiihsehat anies moga haji mabrur aamiiin,black-campaign
Thu Jul 13 07:41:20 +0000 2023,DwiYatmo1698057,"@bachrum_achmadi Madi, gue mau tanya serius.  Benar ga sih, anies digiring kekantor polisi kerajaan arab, gara2 anies ngaku2 diundang oleh raja arab. https://t.co/nu5wEZdLpa",achmadi madi gue mau tanya serius benar ga sih anies digiring kekantor polisi kerajaan arab gara anies ngaku diundang oleh raja arab,achmadi madi gue serius anies giring kantor polisi raja arab gara anies ngaku undang raja arab,black-campaign
Thu Jul 13 06:05:58 +0000 2023,HermanBudiSant4,"(1) Subhanallah..Posisi Anies saat ini bukan Pejabat Negara,tapi beliau berhaji  atas Undangan Resmi Kerajaan Arab Saudi(KSA). KSA memang pernah mengundang Tokoh Muslim Dunia untuk berhaji,tapi KSA mengundang dalam Kapasitas Sebagai Pejabat Negara..(2)",subhanallahposisi anies saat ini bukan pejabat negaratapi beliau berhaji atas undangan resmi kerajaan arab saudiksa ksa memang pernah mengundang tokoh muslim dunia untuk berhajitapi ksa mengundang dalam kapasitas sebagai pejabat negara,subhanallahposisi anies jabat negaratapi beliau haj undang resmi raja arab saudiksa ksa undang tokoh muslim dunia berhajitapi ksa undang kapasitas jabat negara,black-campaign
Wed Jul 12 15:54:48 +0000 2023,saripudin1601,@Tan_Mar3M Anies lebih parah melanggar sunahtullahðŸ¤£ðŸ¤£ðŸ¤£ Penjual agamanya kental bangetðŸ¤£ðŸ¤£ Udh gitu blng di undang kerajaan arab saudi dasar wan ngibulðŸ¤£ðŸ¤£,marm anies lebih parah melanggar sunahtullah penjual agamanya kental banget udh gitu blng di undang kerajaan arab saudi dasar wan ngibul,marm anies parah langgar sunahtullah jual agama kental banget udh gitu blng undang raja arab saudi dasar wan ngibul,black-campaign
Wed Jul 12 08:27:26 +0000 2023,Ib_Albantany,"@ShenoWirang Elu yang goblog, itu suatu perlindungan dari Kerajaan Arab Saudi karena mungkin di anggap tokoh penting bagaimana pun jg Anies salah satu calon presiden, pihak saudi tdk mau  klo terjd apa2 slm pak Anies di Arab Saudi.",elu yang goblog itu suatu perlindungan dari kerajaan arab saudi karena mungkin di anggap tokoh penting bagaimana pun jg anies salah satu calon presiden pihak saudi tdk mau klo terjd apa slm pak anies di arab saudi,elu goblog lindung raja arab saudi anggap tokoh jg anies salah calon presiden saudi terjd slm anies arab saudi,black-campaign
Wed Jul 12 07:23:50 +0000 2023,AgusAgu00819551,PKI paling sakit hati melihat posting ini tentara Kerajaan Arab Saudi berpegangan tangan erat membentuk pagar betis dlm mengawal Pak AniesðŸ˜ƒðŸ˜ƒðŸ˜ƒ,pki paling sakit hati melihat posting ini tentara kerajaan arab saudi berpegangan tangan erat membentuk pagar betis dlm mengawal pak anies,pki sakit hati posting tentara raja arab saudi gang tangan erat bentuk pagar betis dlm awal anies,black-campaign
Wed Jul 12 06:51:26 +0000 2023,halo16447,"@RomitsuT Anies bukan pejabat seperti Prabowo dan Ganjar, tapi diberi penghormatan ala militer oleh tentara pengawal kerajaan Arab saudi seperti ini, itu tandanya Anies memang orang Hebat, gak ada yang bisa bantah kecuali orang gak waras...",anies bukan pejabat seperti prabowo dan ganjar tapi diberi penghormatan ala militer oleh tentara pengawal kerajaan arab saudi seperti ini itu tandanya anies memang orang hebat gak ada yang bisa bantah kecuali orang gak waras,anies jabat prabowo ganjar hormat ala militer tentara awal raja arab saudi tanda anies orang hebat bantah kecuali orang waras,black-campaign
Wed Jul 12 05:49:23 +0000 2023,FatraIncs,"@Gladislagiwoy @aniesbaswedan Arrinya anies orng oenting Ganjar ga penting Udah gitu aja setiap negara punya protokol dan kebijakannya sendiri, twit anda seolah merendahkan pemerintah kerajaan arab saudi",arrinya anies orng oenting ganjar ga penting udah gitu aja setiap negara punya protokol dan kebijakannya sendiri twit anda seolah merendahkan pemerintah kerajaan arab saudi,arrinya anies orng oenting ganjar udah gitu negara protokol bijak twit rendah perintah raja arab saudi,black-campaign
Wed Jul 12 05:05:50 +0000 2023,IbnuMokmin,"@LOVE_AG4EVER__ @ErsatArema021 Kemarin menfitnah Anies katanya bohong klau jadi tamu kehormatan kerajaan arab saudi,eh sekarang dikawal oleh tentara kerajaan loe kepanasan,kok hati kamu busuk amat sih,bgm dg keluarga loe punya ibu yg memiliki hati yg kotor.krn jejak digital tdk akan bohong.",agever kemarin menfitnah anies katanya bohong klau jadi tamu kehormatan kerajaan arab saudieh sekarang dikawal oleh tentara kerajaan loe kepanasankok hati kamu busuk amat sihbgm dg keluarga loe punya ibu yg memiliki hati yg kotorkrn jejak digital tdk akan bohong,agever kemarin menfitnah anies bohong klau tamu hormat raja arab saudieh kawal tentara raja loe kepanasankok hati busuk sihbgm keluarga loe milik hati kotorkrn jejak digital bohong,black-campaign
Wed Jul 12 01:01:59 +0000 2023,INDONESIAPERKS4,"YUK CARI TAHU  Benarkah @aniesbaswedan Diundang Kerajaan Arab Saudi &amp  segala fasilitas untuk keluarga Anies Baswedan, semua Gratis dari @KingSalman â“  Cc : @MbSofKSA  @princebinsalman  @RoyalSaudiNews  Apakah ini PEMBOHONGAN Publik  membawa Nama Kerajaan Arab Saudiâ“ @Menlu_RI https://t.co/miEHPgLqqf",yuk cari tahu benarkah diundang kerajaan arab saudi amp segala fasilitas untuk keluarga anies baswedan semua gratis dari cc apakah ini pembohongan publik membawa nama kerajaan arab saudi ri,yuk cari undang raja arab saudi fasilitas keluarga anies baswedan gratis cc bohong publik bawa nama raja arab saudi ri,black-campaign
Wed Jul 12 00:17:20 +0000 2023,FahmiAb36716345,@Gladislagiwoy @aniesbaswedan Kalau aku positif thinking aja.... Secara Anies calon presiden wajar kerjaan Arab Saudi menjaga keselamatan beliau... Kalau terjadi apa2 terhadap beliau kerajaan aran Saudi juga kena imbas nya...,kalau aku positif thinking aja secara anies calon presiden wajar kerjaan arab saudi menjaga keselamatan beliau kalau terjadi apa terhadap beliau kerajaan aran saudi juga kena imbas nya,positif thinking anies calon presiden wajar kerja arab saudi jaga selamat beliau beliau raja aran saudi kena imbas,black-campaign
Tue Jul 11 13:58:16 +0000 2023,PutraBachtiar9,"Sejak kapan keluarga Kerajaan Arab makan barengÂ² sama bagian pengamanannya ? ðŸ¤”  Anies dan gerombolannya gitu amat yak, aneh.",sejak kapan keluarga kerajaan arab makan bareng sama bagian pengamanannya anies dan gerombolannya gitu amat yak aneh,keluarga raja arab makan bareng aman anies gerombol gitu yak aneh,black-campaign
Tue Jul 11 10:46:59 +0000 2023,Demokratjaksel,"@Tan_Mar3M @MARQUEZ__93 @ganjarpranowo LAH...SEWOT ! JAGOAN LU GA ADA PRIVILAGE DARI KERAJAAN ARAB SAUDI !  PAK ANIES RAKYAT BIASA DARI INDONESIA, JAGOAN LU PEJABAT !  MASA RAKYAT BIASA  KEMANA2 DIKAWAL...  KLO GA PAHAM JUGA...KASIAN...  KATA ROCKY GERUNG, IJASAH ITU TANDA ORANG PERNAH SEKOLAH, BUKAN UNTUK BERFIKIR !",marm lahsewot jagoan lu ga ada privilage dari kerajaan arab saudi pak anies rakyat biasa dari indonesia jagoan lu pejabat masa rakyat biasa kemana dikawal klo ga paham jugakasian kata rocky gerung ijasah itu tanda orang pernah sekolah bukan untuk berfikir,marm lahsewot jago lu privilage raja arab saudi anies rakyat indonesia jago lu jabat rakyat mana kawal paham jugakasian rocky gerung ijasah tanda orang sekolah berfikir,black-campaign
Tue Jul 11 10:37:06 +0000 2023,TanoMaskhe,"@hansssolo Itu artinya Anies di anggap orang penting dan istimewa. Setidaknya dimata kerajaan Arab Saudi. Klu dikawal di tempat yg ramai, itu sdh biasa dan memang sdh seharusnya, bersifat umum. Klu ini nampaknya ada kekhususan. ðŸ˜ðŸ˜ðŸ˜",itu artinya anies di anggap orang penting dan istimewa setidaknya dimata kerajaan arab saudi klu dikawal di tempat yg ramai itu sdh biasa dan memang sdh seharusnya bersifat umum klu ini nampaknya ada kekhususan,anies anggap orang istimewa mata raja arab saudi klu kawal ramai sifat klu nampaknya khusus,black-campaign
Tue Jul 11 04:23:19 +0000 2023,FRimson,"@JhonniSinaga20 Ini yang pas mau di interogasi karna ngaku di undang kerajaan arab saudi kan? Makanya kelompok nya langsung pada diem, ngga ada lagi yang berani bilang bahwa anies di undang kerajaan arab saudi ðŸ˜…ðŸ˜…",ini yang pas mau di interogasi karna ngaku di undang kerajaan arab saudi kan makanya kelompok nya langsung pada diem ngga ada lagi yang berani bilang bahwa anies di undang kerajaan arab saudi,pas interogasi karna ngaku undang raja arab saudi kelompok langsung diem ngga berani anies undang raja arab saudi,black-campaign
Tue Jul 11 04:13:57 +0000 2023,HamkahBuya,"@Dennysiregar7 Tweet nya gak berkelas banget sih ! Katanya penulis, pembuat skenario sayap2 patah. Kalau Ganjar yg kmrn bareng naik haji dgn Anies kalo lama2 di Arab Saudi mau ngapain ? Tokoh Global bukan, Bahasa Inggrisnya blepotan. Cuma jam'ah biasa, nah Anies tamu kehormatan kerajaan Arab.",tweet nya gak berkelas banget sih katanya penulis pembuat skenario sayap patah kalau ganjar yg kmrn bareng naik haji dgn anies kalo lama di arab saudi mau ngapain tokoh global bukan bahasa inggrisnya blepotan cuma jamah biasa nah anies tamu kehormatan kerajaan arab,tweet kelas banget tulis buat skenario sayap patah ganjar kmrn bareng haji anies arab saudi ngapain tokoh global bahasa inggris blepot jamah anies tamu hormat raja arab,black-campaign
Tue Jul 11 03:13:19 +0000 2023,gustjahSaja,"@Tan_Mar3M @MARQUEZ__93 @ganjarpranowo Bedalah bong, Pak Anies itu selama di SA disambut hangat oleh keluarga Kerajaan Arab Saudi, kenapa junjungan kalian  dicuekin disana? karena kalian kan tdk suka dgn yg bau2 sonoh dan sering meng Kadrun2kan..  kaga' usah iri ya Bong !",marm bedalah bong pak anies itu selama di sa disambut hangat oleh keluarga kerajaan arab saudi kenapa junjungan kalian dicuekin disana karena kalian kan tdk suka dgn yg bau sonoh dan sering meng kadrunkan kaga usah iri ya bong,marm beda bong anies sa sambut hangat keluarga raja arab saudi junjung dicuekin sana suka bau sonoh meng kadrunkan kaga iri bong,black-campaign
Tue Jul 11 00:14:14 +0000 2023,NewinTasik,"@brother_djon Mudah-mudahan ini sebagai penghormatan Kerajaan Arab kepada Indonesia , yang terwakili Bapak Anies Baswedan.",djon mudahmudahan ini sebagai penghormatan kerajaan arab kepada indonesia yang terwakili bapak anies baswedan,djon mudahmudahan hormat raja arab indonesia wakil anies baswedan,black-campaign
Tue Jul 11 00:07:04 +0000 2023,indraja71400636,@YRadianto @psi_id Ngeributin ibadah haji pak Anies gagal total Krn mmng diundang kerajaan Arab Saudi  Ngeributin parkir mobil JIS gagal total ternyata bus bisa masuk Ngeributin rumput gagal total Krn FIFA blm berstetmen  Sekarang mau audit domba domba dongok ini kapan waras nya ya...,id ngeributin ibadah haji pak anies gagal total krn mmng diundang kerajaan arab saudi ngeributin parkir mobil jis gagal total ternyata bus bisa masuk ngeributin rumput gagal total krn fifa blm berstetmen sekarang mau audit domba domba dongok ini kapan waras nya ya,id ngeributin ibadah haji anies gagal total mmng undang raja arab saudi ngeributin parkir mobil jis gagal total bus masuk ngeributin rumput gagal total fifa blm berstetmen audit domba domba dongok waras,black-campaign
Mon Jul 10 23:26:20 +0000 2023,damarwidi99,@Mdy_Asmara1701 Luar biasa betul kewibawaan Pak @aniesbaswedan di Saudi Arabia.seluruh aktivitas mendapat perhatian dr Pemerintah Kerajaan &amp  masyarakat yg tinggal di SA.ini membuktikan ketulusan penerimaan Kerajaan thd Pak Anies.Memang sebaiknya beliau menetap saja selamanya di Arab ðŸ™,asmara luar biasa betul kewibawaan pak di saudi arabiaseluruh aktivitas mendapat perhatian dr pemerintah kerajaan amp masyarakat yg tinggal di saini membuktikan ketulusan penerimaan kerajaan thd pak aniesmemang sebaiknya beliau menetap saja selamanya di arab,asmara wibawa saudi arabiaseluruh aktivitas perhati dr perintah raja masyarakat tinggal saini bukti tulus terima raja thd aniesmemang beliau tetap arab,black-campaign
Mon Jul 10 22:55:24 +0000 2023,ArdoyantoE,@MARQUEZ__93 ARAB SAUDI juga tahu MUKE ORANG SHOLEH sama MUKE MUKE BOKEP.....makanya GANJAR gak diGUBRIS!lihat ANIES bukan PEJABAT n WARGA BIASA tapi bgtu KERAJAAN tahu ANIES CAPRES lsg beri PENGAWALAN....salahnya GANJAR karena gak bawa KORLAP?!,arab saudi juga tahu muke orang sholeh sama muke muke bokepmakanya ganjar gak digubrislihat anies bukan pejabat  warga biasa tapi bgtu kerajaan tahu anies capres lsg beri pengawalansalahnya ganjar karena gak bawa korlap,arab saudi muke orang sholeh muke muke bokepmakanya ganjar digubrislihat anies jabat warga bgtu raja anies capres lsg pengawalansalahnya ganjar bawa korlap,black-campaign
